账套,订单号,订单子项号,客户代码（需方）,客户名称,最终用户,最终用户名称,部门代码,最早交货月,订单交货月,保产合同/非保产合同,渠道委托控货标记,制造单元,股份合同性质,品种代码,订单是否变更过(价格变更),订单是否变更过(重量变更),订单是否变更过 (交货信息变更(订单是否变更物流模板)),发布的期货价格政策,营销员代码,营销员姓名,协议价格类型,渠道强制生效&延付罚息白名单维护（Q01-延付罚息白名单，Q03-强制生效管控名单）,合同是否厂商银（F-融资）,交货方式,运输方式代码,运输方式名称,备货转销售,客商信息中的经销商（客户分级）,是否为协议用户（需方）需找客商,订单是否免息,收条是否有免息政策,收条上做买方付息，做报批件，做过折现的,订货量,订单价格(不含税）,订单价格(含税）,订单价格(结算）,总重量,总金额(含税),本客户的平均回款天数:本客户的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,强制生效时间,本单该客户的平均晚回款比例：(本单客户的本次配足款时间-合同强制生效时间)/本客户的平均回款天数,本品种的平均回款天数:本品种的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,本单该品种的平均晚回款比例：(本单品种的本次配足款时间-合同强制生效时间)/本品种的平均回款天数,总件数（按件计）,本客户历史订货总量,本客户历史订单总数（合约数）,订单首次配足款时间,本品种历史订单总数（合约数）,强制生效-首付款差值综合（客户）,强制生效-首付款差值综合（品种）
QB000000,QB24900417,QB249004170002,104839,东莞凤岗嘉辉塑胶五金有限公司,104839,东莞凤岗嘉辉塑胶五金有限公司,QB202100,202409,20240815135443307,Y,,Z,QZA,L0,Y,N,N,,784629,万江,,,,20,23,,,T,,,,,40,3262.84,3687.0092,3262.84,314,1021451.76,49,20240826214112,1,16.6,2.951807229,0,314,1,20241014154543400,10,49,166
QB000000,QB24900417,QB249004170003,104839,东莞凤岗嘉辉塑胶五金有限公司,104839,东莞凤岗嘉辉塑胶五金有限公司,QB202100,202409,20240815135444470,Y,,Z,QZA,L0,Y,N,N,,784629,万江,,,,20,23,,,T,,,,,60,3232.84,3653.1092,3232.84,314,1021451.76,49,20240826214112,1,16.6,2.951807229,0,314,1,20241014154543400,10,49,166
QB000000,QB24900417,QB249004170004,104839,东莞凤岗嘉辉塑胶五金有限公司,104839,东莞凤岗嘉辉塑胶五金有限公司,QB202100,202409,20240815135445626,Y,,Z,QZA,L0,Y,N,N,,784629,万江,,,,20,23,,,T,,,,,40,3232.84,3653.1092,3232.84,314,1021451.76,49,20240826214112,1,16.6,2.951807229,0,314,1,20241014154543400,10,49,166
QB000000,QB24900417,QB249004170005,104839,东莞凤岗嘉辉塑胶五金有限公司,104839,东莞凤岗嘉辉塑胶五金有限公司,QB202100,202409,20240815135446770,Y,,Z,QZA,L0,Y,N,N,,784629,万江,,,,20,23,,,T,,,,,30,3342.84,3777.4092,3342.84,314,1021451.76,49,20240826214112,1,16.6,2.951807229,0,314,1,20241014154543400,10,49,166
QB000000,QB24900417,QB249004170006,104839,东莞凤岗嘉辉塑胶五金有限公司,104839,东莞凤岗嘉辉塑胶五金有限公司,QB202100,202409,20240815135447938,Y,,Z,QZA,L0,Y,N,N,,784629,万江,,,,20,23,,,T,,,,,40,3242.84,3664.4092,3242.84,314,1021451.76,49,20240826214112,1,16.6,2.951807229,0,314,1,20241014154543400,10,49,166
QB000000,QB24900417,QB249004170007,104839,东莞凤岗嘉辉塑胶五金有限公司,104839,东莞凤岗嘉辉塑胶五金有限公司,QB202100,202409,20240815135449071,Y,,Z,QZA,L0,Y,N,N,,784629,万江,,,,20,23,,,T,,,,,34,3242.84,3664.4092,3242.84,314,1021451.76,49,20240826214112,1,16.6,2.951807229,0,314,1,20241014154543400,10,49,166
QB000000,QB24900417,QB249004170008,104839,东莞凤岗嘉辉塑胶五金有限公司,104839,东莞凤岗嘉辉塑胶五金有限公司,QB202100,202409,20240815135450294,Y,,Z,QZA,L0,Y,N,N,,784629,万江,,,,20,23,,,T,,,,,50,3242.84,3664.4092,3242.84,314,1021451.76,49,20240826214112,1,16.6,2.951807229,0,314,1,20241014154543400,10,49,166
QB000000,QB24901722,QB249017220001,066220,广东志达精密管业制造股份有限公司,066220,广东志达精密管业制造股份有限公司,QB202000,202409,20240827144114244,N,,J,QZD,LC,Y,N,N,,784184,申俊,,,,20,23,,,0,,,,,40,3800,4294,3800,40,152000,28.25,20240828163908,1.557522124,21.09803922,2.085501859,0,1426,4,20241011152023500,51,113,1076
QB000000,QB24901935,QB249019350001,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153334828,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,63,4107,4640.91,4107,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350002,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153337557,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,74,4547,5138.11,4547,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350003,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153338788,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,105,4667,5273.71,4667,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350004,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153339991,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,95,4667,5273.71,4667,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350005,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153341212,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,105,4667,5273.71,4667,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350006,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153342390,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,16,4667,5273.71,4667,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350007,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153343689,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,16,4607,5205.91,4607,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350008,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153344964,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,16,4607,5205.91,4607,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350009,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153346197,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,32,4547,5138.11,4547,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350010,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153347493,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,24,4427,5002.51,4427,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350011,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153348731,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,132,4317,4878.21,4317,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350012,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153349981,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,32,4197,4742.61,4197,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350013,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153351287,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,32,4787,5409.31,4787,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24901935,QB249019350014,009714,粤海中粤(中山)马口铁工业有限公司,009714,粤海中粤(中山)马口铁工业有限公司,QB202300,202409,20240828153352605,Y,,K,QZA,LK,N,N,N,,782078,冯金友,,Q01,,20,21,,,A,,,,,32,4787,5409.31,4787,774,3503018,41,20240828160501,1,41,1,0,774,1,20241008165036600,1,41,41
QB000000,QB24902003,QB249020030001,119650,佛山市粤星金属科技有限公司,265496,广东福迪汽车零部件有限公司,QB202000,202409,20240828164741685,N,,J,QZD,LC,Y,N,N,,784581,孔健锴,,,,20,23,,,0,,,,,25,3371,3809.23,3371,50,168300,14.7,20240828201108,2.857142857,21.09803922,1.99070632,0,2257,10,20241009164626600,51,147,1076
QB000000,QB24902003,QB249020030002,119650,佛山市粤星金属科技有限公司,265496,广东福迪汽车零部件有限公司,QB202000,202409,20240828164743091,N,,J,QZD,LC,Y,N,N,,784581,孔健锴,,,,20,23,,,0,,,,,25,3361,3797.93,3361,50,168300,14.7,20240828201108,2.857142857,21.09803922,1.99070632,0,2257,10,20241009164626600,51,147,1076
QB000000,QB24902012,QB249020120001,916152,中集宝创(无锡)钢铁加工有限公司,004484,上海宸阳金属材料有限公司,QB202000,202409,20240828220808762,N,A,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,41,3176,3588.88,3176,65,214360,43,20240829091004,1,21.09803922,2.038104089,0,65,1,20241011145010900,51,43,1076
QB000000,QB24902012,QB249020120002,916152,中集宝创(无锡)钢铁加工有限公司,004484,上海宸阳金属材料有限公司,QB202000,202409,20240828220810077,N,A,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,24,3506,3961.78,3506,65,214360,43,20240829091004,1,21.09803922,2.038104089,0,65,1,20241011145010900,51,43,1076
QB000000,QB24902182,QB249021820001,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154132619,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,22,3540,4000.2,3540,167,589020,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110125500,51,96,1076
QB000000,QB24902182,QB249021820002,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154133971,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,33,3540,4000.2,3540,167,589020,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110125500,51,96,1076
QB000000,QB24902182,QB249021820003,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154135230,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,22,3540,4000.2,3540,167,589020,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110125500,51,96,1076
QB000000,QB24902182,QB249021820004,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154136956,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,25,3540,4000.2,3540,167,589020,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110125500,51,96,1076
QB000000,QB24902182,QB249021820005,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154138156,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,22,3405,3847.65,3405,167,589020,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110125500,51,96,1076
QB000000,QB24902182,QB249021820006,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154139437,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,24,3550,4011.5,3550,167,589020,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110125500,51,96,1076
QB000000,QB24902182,QB249021820007,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154140789,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,19,3570,4034.1,3570,167,589020,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110125500,51,96,1076
QB000000,QB24902183,QB249021830001,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154145047,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,50,3240,3661.2,3240,179,586290,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110140600,51,96,1076
QB000000,QB24902183,QB249021830002,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154146321,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,50,3240,3661.2,3240,179,586290,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110140600,51,96,1076
QB000000,QB24902183,QB249021830003,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154147718,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,50,3210,3627.3,3210,179,586290,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110140600,51,96,1076
QB000000,QB24902183,QB249021830004,064909,上海佛伦奥冶金机电设备有限公司,064909,上海佛伦奥冶金机电设备有限公司,QB202000,202409,20240829154148989,Y,A,J,QZD,LC,Y,N,N,,784334,王超,,,,20,23,,,0,,,,,29,3510,3966.3,3510,179,586290,48,20240829172321,1,21.09803922,2.275092937,0,346,2,20241016110140600,51,96,1076
QB000000,QB24902231,QB249022310001,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181848905,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,51,3455,3904.15,3455,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310002,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181850511,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,24,3455,3904.15,3455,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310003,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181852059,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,22,3455,3904.15,3455,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310004,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181854559,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,48,3455,3904.15,3455,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310005,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181855855,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,75,3480,3932.4,3480,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310006,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181857175,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,75,3455,3904.15,3455,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310007,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181858520,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,51,3355,3791.15,3355,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310008,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181859967,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,24,3355,3791.15,3355,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310009,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181901299,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,48,3255,3678.15,3255,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310010,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181902646,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,51,3455,3904.15,3455,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310011,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181903993,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,51,3455,3904.15,3455,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902231,QB249022310012,004826,佛山市顺德区登峰钢铁贸易有限公司,483233,广东华海智联科技有限公司,QB202000,202409,20240829181905360,N,,Z,QZD,LC,Y,N,N,,784573,戴剑飞,,,,20,23,,,0,,,,,75,3455,3904.15,3455,595,2040500,47,20240829212209,1,21.09803922,2.227695167,0,595,1,20241015101401100,51,47,1076
QB000000,QB24902366,QB249023660001,052370,美达王(广州)钢材制品有限公司,059232,祥鑫科技股份有限公司,QB202000,202409,20240830165404308,Y,,Z,QZA,MC,Y,N,N,,105209,刘智龙,,Q01,,20,23,,,0,,,,Y,25,4501,5086.13,4501,126,495203,46,20240830195805,1,24.46268657,1.880414887,0,126,1,20241015105528800,67,46,1639
QB000000,QB24902366,QB249023660002,052370,美达王(广州)钢材制品有限公司,059232,祥鑫科技股份有限公司,QB202000,202409,20240830165405521,Y,,Z,QZA,MC,Y,N,N,,105209,刘智龙,,Q01,,20,23,,,0,,,,Y,20,4481,5063.53,4481,126,495203,46,20240830195805,1,24.46268657,1.880414887,0,126,1,20241015105528800,67,46,1639
QB000000,QB24902366,QB249023660003,052370,美达王(广州)钢材制品有限公司,059232,祥鑫科技股份有限公司,QB202000,202409,20240830165406726,Y,,Z,QZA,MC,Y,N,N,,105209,刘智龙,,Q01,,20,23,,,0,,,,Y,24,3618,4088.34,3618,126,495203,46,20240830195805,1,24.46268657,1.880414887,0,126,1,20241015105528800,67,46,1639
QB000000,QB24902366,QB249023660004,052370,美达王(广州)钢材制品有限公司,059232,祥鑫科技股份有限公司,QB202000,202409,20240830165407950,Y,,Z,QZA,MC,Y,N,N,,105209,刘智龙,,Q01,,20,23,,,0,,,,Y,25,3618,4088.34,3618,126,495203,46,20240830195805,1,24.46268657,1.880414887,0,126,1,20241015105528800,67,46,1639
QB000000,QB24902366,QB249023660005,052370,美达王(广州)钢材制品有限公司,059232,祥鑫科技股份有限公司,QB202000,202409,20240830165409167,Y,,Z,QZA,MC,Y,N,N,,105209,刘智龙,,Q01,,20,23,,,0,,,,Y,32,3618,4088.34,3618,126,495203,46,20240830195805,1,24.46268657,1.880414887,0,126,1,20241015105528800,67,46,1639
QB000000,QB24A00002,QB24A000020001,717216,天顺(北海)供应链管理有限公司,717216,天顺(北海)供应链管理有限公司,QB202500,202410,20240830174907467,N,A,Z,QZA,J0,N,N,N,,E73005,李华林,,Q01,,10,11,,,0,,,,,35.985,3661,4136.93,3661,3039.617,10629359.54,42,20240830202908,1,23.375,1.796791444,5,3039.617,1,20241011133712700,8,42,187
QB000000,QB24A00002,QB24A000020002,717216,天顺(北海)供应链管理有限公司,717216,天顺(北海)供应链管理有限公司,QB202500,202410,20240830174909079,N,A,Z,QZA,J0,N,N,N,,E73005,李华林,,Q01,,10,11,,,0,,,,,40.87,3461,3910.93,3461,3039.617,10629359.54,42,20240830202908,1,23.375,1.796791444,10,3039.617,1,20241011133712700,8,42,187
QB000000,QB24A00002,QB24A000020003,717216,天顺(北海)供应链管理有限公司,717216,天顺(北海)供应链管理有限公司,QB202500,202410,20240830174910280,N,A,Z,QZA,J0,N,N,N,,E73005,李华林,,Q01,,10,11,,,0,,,,,41.41,3461,3910.93,3461,3039.617,10629359.54,42,20240830202908,1,23.375,1.796791444,10,3039.617,1,20241011133712700,8,42,187
QB000000,QB24A00002,QB24A000020004,717216,天顺(北海)供应链管理有限公司,717216,天顺(北海)供应链管理有限公司,QB202500,202410,20240830174911479,N,A,Z,QZA,J0,N,N,N,,E73005,李华林,,Q01,,10,11,,,0,,,,,41.58,3461,3910.93,3461,3039.617,10629359.54,42,20240830202908,1,23.375,1.796791444,10,3039.617,1,20241011133712700,8,42,187
QB000000,QB24A00002,QB24A000020005,717216,天顺(北海)供应链管理有限公司,717216,天顺(北海)供应链管理有限公司,QB202500,202410,20240830174912670,N,A,Z,QZA,J0,N,N,N,,E73005,李华林,,Q01,,10,11,,,0,,,,,36.92,3461,3910.93,3461,3039.617,10629359.54,42,20240830202908,1,23.375,1.796791444,10,3039.617,1,20241011133712700,8,42,187
